home,away,won,home_attack,home_deffense,away_attack,away_deffense,home_id,away_id
1,1,draw,1.1328612105263158,1.1503959736842104,1.5539092631578948,0.9581219736842105,36,40
1,2,away,1.315919947368421,1.4581814210526316,1.1979285263157895,1.1421443157894737,63,48
3,0,home,1.3476432368421052,0.9601127894736842,1.3265687631578946,0.9644233157894737,46,51
0,0,draw,1.4262978684210526,1.0722211578947367,1.590960947368421,0.8525350789473685,33,50
2,1,home,1.058699342105263,1.4024461052631578,0.8425862105263158,1.6121498157894736,34,60
3,0,home,1.0763644210526315,1.2173616842105264,0.8389786578947368,1.3351425789473683,41,62
0,1,away,1.1308949736842104,1.2112308947368422,1.3456919736842106,1.3521605789473683,39,66
1,1,draw,1.185106657894737,1.014207052631579,1.0763644210526315,1.2173616842105264,42,41
0,0,draw,1.3456919736842106,1.3521605789473683,0.9325241052631579,1.3685032105263157,66,44
0,0,draw,1.1328612105263158,1.1503959736842104,1.3265687631578946,0.9644233157894737,36,51
5,2,home,1.315919947368421,1.4581814210526316,1.058699342105263,1.4024461052631578,63,34
0,2,away,1.3476432368421052,0.9601127894736842,1.0274163157894738,1.233633447368421,46,45
2,3,away,0.8389786578947368,1.3351425789473683,1.4262978684210526,1.0722211578947367,62,33
1,1,draw,1.1979285263157895,1.1421443157894737,0.8908619736842105,1.353819894736842,48,52
2,1,home,1.1308949736842104,1.2112308947368422,1.5138173157894736,0.831302947368421,39,49
2,1,home,1.5539092631578948,0.9581219736842105,1.112908,1.3578454736842105,40,47
1,1,draw,1.590960947368421,0.8525350789473685,0.8425862105263158,1.6121498157894736,50,60
1,1,draw,1.3265687631578946,0.9644233157894737,0.8389786578947368,1.3351425789473683,51,62
2,1,home,0.9325241052631579,1.3685032105263157,1.1308949736842104,1.2112308947368422,44,39
3,0,home,1.5138173157894736,0.831302947368421,1.1979285263157895,1.1421443157894737,49,48
0,7,away,0.8908619736842105,1.353819894736842,1.5539092631578948,0.9581219736842105,52,40
2,1,home,1.0274163157894738,1.233633447368421,1.185106657894737,1.014207052631579,45,42
6,2,home,1.4262978684210526,1.0722211578947367,1.315919947368421,1.4581814210526316,33,63
1,1,draw,1.058699342105263,1.4024461052631578,1.1328612105263158,1.1503959736842104,34,36
0,1,away,1.0763644210526315,1.2173616842105264,1.590960947368421,0.8525350789473685,41,50
0,2,away,1.112908,1.3578454736842105,1.3476432368421052,0.9601127894736842,47,46
0,3,away,0.8425862105263158,1.6121498157894736,1.3456919736842106,1.3521605789473683,60,66
3,1,home,1.185106657894737,1.014207052631579,1.5138173157894736,0.831302947368421,42,49
3,0,home,1.3456919736842106,1.3521605789473683,0.8908619736842105,1.353819894736842,66,52
0,0,draw,1.1328612105263158,1.1503959736842104,1.0763644210526315,1.2173616842105264,36,41
1,0,home,1.315919947368421,1.4581814210526316,0.9325241052631579,1.3685032105263157,63,44
2,2,draw,1.3476432368421052,0.9601127894736842,1.4262978684210526,1.0722211578947367,46,33
1,1,draw,1.5539092631578948,0.9581219736842105,0.8425862105263158,1.6121498157894736,40,60
2,0,home,1.590960947368421,0.8525350789473685,1.058699342105263,1.4024461052631578,50,34
0,1,away,0.8389786578947368,1.3351425789473683,1.0274163157894738,1.233633447368421,62,45
2,2,draw,1.1979285263157895,1.1421443157894737,1.3265687631578946,0.9644233157894737,48,51
1,1,draw,1.1308949736842104,1.2112308947368422,1.112908,1.3578454736842105,39,47
0,1,away,1.3265687631578946,0.9644233157894737,1.185106657894737,1.014207052631579,51,42
1,0,home,0.9325241052631579,1.3685032105263157,0.8389786578947368,1.3351425789473683,44,62
1,1,draw,1.5138173157894736,0.831302947368421,1.3456919736842106,1.3521605789473683,49,66
